height,weight,wingspan,points_scored,rebounds,assists,plusminus,fgpct,pheight,pweight,pwingspan,pos
191.98000000000002,91.38666666666666,200.44666666666663,0.5791019722552159,0.07553503985937599,0.20142677295833597,4,0.471,194.31,92.94,203.84,PG
199.39,96.43,212.72,0.17142857140897957,0.2057142856907755,0.0,-4,0.333,197.48,108.95,207.64,PF
192.405,94.09,201.615,0.5009823183203322,0.2062868369554309,0.17681728881894077,-7,0.353,187.32,86.64,193.04,PG
194.73333333333335,94.87,205.3166666666667,0.25149700601814334,0.10778443115063287,0.07185628743375524,8,0.286,194.31,97.07,207.64,SG
194.73333333333335,94.87,205.3166666666667,0.6287920572941211,0.132377275219815,0.03309431880495375,13,0.353,194.31,90.45,200.66,SG
199.39,96.43,212.72,0.8560311284046693,0.1556420233463035,0.0,-6,1.0,207.01,106.32,214.63,PF
200.02499999999998,98.52,217.485,0.39848197347234177,0.19924098673617088,0.11385199242066907,2,0.417,208.28,113.38,214.63,PF
192.19333333333336,94.19000000000001,209.1266666666667,0.32193158953722334,0.08048289738430583,0.2414486921529175,11,0.5,205.74,94.78,205.74,PG
200.02499999999998,98.52,217.485,0.7756653991215717,0.41064638777024387,0.04562737641891598,-1,1.0,208.28,104.87,213.36,PF
195.15666666666667,96.00999999999999,213.99333333333334,0.0,0.06644518272425248,0.06644518272425248,3,0.0,202.56,94.89,208.92,SF
194.5233333333333,92.83,212.72333333333336,0.16014234878294348,0.05338078292764782,0.05338078292764782,2,0.2,189.23,92.9,200.02,SG
207.16750000000002,105.66,212.5675,0.4157043880291644,0.11085450347444382,0.08314087760583287,2,0.286,199.39,97.07,220.34,SF
199.17666666666665,94.19000000000001,204.89333333333335,0.5797101449275363,0.12077294685990339,0.04830917874396135,-4,0.391,193.68,89.81,212.09,SG
197.485,93.84,202.88,0.28,0.12,0.08,-3,0.25,190.5,91.61,205.74,PG
199.17666666666665,94.19000000000001,204.89333333333335,0.5882352941176471,0.22875816993464052,0.032679738562091505,-4,0.4,192.4,101.15,209.55,SG
207.16750000000002,105.66,212.5675,0.08733624454148473,0.17467248908296945,0.13100436681222707,2,0.0,200.66,99.97,214.63,PF
201.08333333333334,105.02333333333335,211.88,0.2037351443469839,0.05093378608674597,0.10186757217349195,-6,0.333,198.76,94.62,217.8,SF
201.08333333333334,105.02333333333335,211.88,0.6802721088435374,0.24489795918367346,0.1360544217687075,9,0.455,198.12,103.15,220.98,SF
201.08333333333334,105.02333333333335,211.88,0.9540636043245639,0.10600706714717377,0.026501766786793442,3,0.529,202.56,97.25,211.46,SF
