player_name,position,height,height_with_shoes,weight,wingspan,draft_year
Tre Simmons,SG/SF,193.04,195.58,88.09,201.93,2005
Jarrett Culver,SG,196.22,200.02,88.09,207.01,2019
Marcus Thornton,SG,189.86,192.4,88.18,195.58,2009
Ayo Dosunmu,SG,191.77,195.58,88.18,208.92,2021
Ty Jerome,PG,193.68,196.85,88.18,193.04,2019
Bootsy Thornton,SG,191.77,194.31,88.22,199.39,2000
Shan Foster,SG,193.04,196.22,88.22,212.09,2008
Josh Selby,SG/PG,187.32,190.5,88.27,196.22,2011
Bruce Brown,SG/PG,191.77,195.58,88.27,205.74,2018
Marshon Brooks,SG,193.68,196.22,88.27,215.9,2011
Ben Sheppard,SG,196.22,198.76,88.27,202.56,2023
Malaki Branham,SG,193.04,196.85,88.36,208.28,2022
Charles Matthews,SG,195.58,198.76,88.36,207.01,2019
Kostas Antetokounmpo,PF,205.74,209.55,88.36,219.08,2018
Nae'Qwan Tomlin,PF,208.28,210.82,94.78,213.36,2023
Victor Wembanyama,C,223.52,226.06,94.78,243.84,2023
Noah Clowney,PF,205.74,208.24,95.24,218.44,2023
Darius Washington,PG,181.61,185.42,88.45,193.04,2006
Michael Hermon,SG/PG,189.86,192.4,88.45,198.76,2000
Miles McBride,PG,185.42,189.23,88.54,205.1,2021
Melo Trimble,PG,186.06,189.23,88.54,187.96,2017
John Gilchrist,PG,186.06,189.23,88.54,206.38,2005
Armon Johnson,PG/SG,187.96,191.14,88.54,203.2,2010
Cason Wallace,PG,189.23,191.77,88.54,204.47,2023
Dalen Terry,SG,198.12,201.3,88.54,215.26,2022
Dyson Daniels,SG,198.12,201.93,88.54,209.55,2022
Louis King,SF,200.02,203.2,88.54,214,2019
Carsen Edwards,PG,179.7,182.88,88.72,198.76,2018
Jonny Flynn,PG,180.98,184.78,88.72,193.04,2009
Marcus Sasser,PG,186.06,188.6,88.72,200.66,2023
John Wall,PG,189.86,193.04,88.72,206.38,2010
Andrew Nembhard,PG,190.5,194.31,88.72,197.48,2022
K.J. McDaniels,SF,194.31,198.12,88.72,211.46,2014
Collin Gillespie,PG,186.69,189.86,88.81,193.04,2022
Caleb Martin,SF/SG,194.94,198.12,88.81,208.28,2018
J.P. Tokoto,SF/SG,196.22,198.76,88.81,208.28,2015
Dylan Windler,SF,198.76,201.93,88.81,208.28,2019
Dijon Thompson,SF/SG,198.76,203.2,88.81,207.64,2005
Lester Hudson,PG,182.24,185.42,88.9,205.1,2008
Cassius Winston,PG,184.15,186.69,88.9,198.12,2020
Russell Robinson,PG,184.15,186.69,88.9,203.2,2008
James Fredette,PG,184.78,189.23,88.9,194.31,2011
Derrick Rose,PG,186.69,189.23,88.9,203.2,2008
Larry O'Bannon,SG,190.5,193.68,88.9,198.12,2005
Nate James,SF,194.94,197.48,88.9,210.18,2001
Karim Mane,PG/SG,195.58,198.12,88.9,210.82,2020
Josh Childress,SG/SF,197.48,201.3,88.9,210.82,2004
DeAndre Daniels,SF,201.3,204.47,88.9,218.44,2014
Jevon Carter,PG,183.52,186.69,88.99,193.68,2018
Lonnie Walker,SG,192.4,194.31,88.99,208.92,2018
Matteo Spagnolo,PG,193.04,196.85,88.99,203.2,2022
Luke Kennard,SG/SF,194.31,196.85,88.99,196.22,2017
Dante Exum,SG,194.31,198.12,89.04,207.01,2014
TyTy Washington Jr.,SG,188.6,192.4,89.09,203.2,2022
Nate Wolters,PG,191.77,194.94,89.09,192.4,2013
Johnny Davis,PG,193.68,197.48,89.09,204.47,2022
Ty Lawson,PG,180.98,184.15,89.18,184.78,2009
MarJon Beauchamp,SG,196.22,199.39,89.18,215.26,2022
Jon Diebler,SG,196.22,199.39,89.18,198.12,2011
Terrence Ross,SG/SF,198.12,200.66,89.18,201.3,2012
Joshua Hall,SF,198.12,201.93,89.18,210.82,2020
